name,price
スパゲティミートソース,490
スパゲティタラコ,490
スパゲティペペロンチーノ,490
スパゲティ大盛,160
スパゲティ＆ミニカレーセット,560
カレーライス,430
カツカレー,550
ハヤシライス,430
ミニカレー,300
カレーライス大盛,160
スパイシーチキン,190
マイチキ,200
竜田揚げ串,140
スパイシーフランク,180
